venue,link
MainStage,https://comedybar.ca/shows/laugh-sabbath?ev=2025-08-21T21%3A30%3A00
MainStage,https://comedybar.ca/shows/theatresports-presents-globehead-2025?ev=2025-08-22T19%3A00%3A00
MainStage,https://comedybar.ca/shows/Singles-Comedy-Night?ev=2025-08-23T19%3A00%3A00
MainStage,https://comedybar.ca/shows/jokers-wild-an-xxx-roast-battle-show?ev=2025-08-17T19%3A00%3A00
MainStage,https://comedybar.ca/shows/COMEDY-SLAM?ev=2025-08-19T21%3A30%3A00
MainStage,https://comedybar.ca/shows/no-name-comedy?ev=2025-08-20T21%3A30%3A00
MainStage,https://comedybar.ca/shows/INSTANT-CLASSIC?ev=2025-08-21T22%3A30%3A00
MainStage,https://comedybar.ca/shows/comedy-records-live?ev=2025-08-22T20%3A30%3A00
MainStage,https://comedybar.ca/shows/Hidden-Leaf-Laughs?ev=2025-08-23T20%3A30%3A00
MainStage,https://comedybar.ca/shows/a-totally-normal-comedy-show?ev=2025-08-17T20%3A30%3A00
MainStage,https://comedybar.ca/shows/open-mic-the-bucket-show?ev=2025-08-19T23%3A00%3A00
MainStage,https://comedybar.ca/shows/catch23?ev=2025-08-22T21%3A00%3A00
MainStage,https://comedybar.ca/shows/it-gets-bitter?ev=2025-08-23T21%3A00%3A00
MainStage,https://comedybar.ca/shows/A-Night-At-The-Drive-In-Presented-By-The-Crab-People?ev=2025-08-17T21%3A00%3A00
MainStage,https://comedybar.ca/shows/chaotic-good?ev=2025-08-22T23%3A00%3A00
MainStage,https://comedybar.ca/shows/ghost-orgy?ev=2025-08-23T22%3A00%3A00
MainStage,https://comedybar.ca/shows/late-mic-to-bloor?ev=2025-08-17T22%3A00%3A00
MainStage,https://comedybar.ca/shows/comedy-bar-after-dark?ev=2025-08-22T23%3A30%3A00
MainStage,https://comedybar.ca/shows/comedy-bar-after-dark?ev=2025-08-23T23%3A30%3A00
MainStage,https://comedybar.ca/shows/canadas-comedy-all-stars?ev=2025-08-24T19%3A00%3A00
MainStage,https://comedybar.ca/shows/party-hard-hard-party?ev=2025-08-25T20%3A00%3A00
MainStage,https://comedybar.ca/shows/bloomin-funyuns?ev=2025-08-26T19%3A30%3A00
MainStage,https://comedybar.ca/shows/nice-time?ev=2025-08-27T20%3A00%3A00
MainStage,https://comedybar.ca/shows/save-the-date?ev=2025-08-28T19%3A30%3A00
MainStage,https://comedybar.ca/shows/the-headliner?ev=2025-08-29T19%3A00%3A00
MainStage,https://comedybar.ca/shows/Coming-of-Rage?ev=2025-08-30T19%3A00%3A00
MainStage,https://comedybar.ca/shows/sobreviviendo?ev=2025-08-24T19%3A00%3A00
MainStage,https://comedybar.ca/shows/three-speed-presents?ev=2025-08-25T20%3A00%3A00
MainStage,https://comedybar.ca/shows/Change-the-Channel?ev=2025-08-26T20%3A00%3A00
MainStage,https://comedybar.ca/shows/Wednesday-Night-Live?ev=2025-08-27T20%3A00%3A00
MainStage,https://comedybar.ca/shows/the-pro-show?ev=2025-08-28T21%3A00%3A00
MainStage,https://comedybar.ca/shows/theatresports-presents-globehead-2025?ev=2025-08-29T19%3A00%3A00
MainStage,https://comedybar.ca/shows/The-Setup-at-Comedy-Bar?ev=2025-08-30T19%3A00%3A00
MainStage,https://comedybar.ca/shows/standup-on-sunday?ev=2025-08-24T21%3A00%3A00
MainStage,https://comedybar.ca/shows/wheel-of-comedy?ev=2025-08-25T21%3A30%3A00
